"Date","Price","Open","High","Low","Vol.","Change %"
"11/24/2023","89.2955","88.5400","90.3783","88.0257","","0.82%"
"11/23/2023","88.5705","88.1550","89.7107","87.1150","","0.20%"
"11/22/2023","88.3955","87.6925","88.7202","87.5065","","0.18%"
"11/21/2023","88.2405","88.0050","88.9408","86.7525","","-0.34%"
"11/20/2023","88.5455","89.9200","90.2285","86.6760","","-1.31%"
"11/17/2023","89.7230","88.9400","90.7633","88.0400","","0.42%"
"11/16/2023","89.3455","89.4550","90.0138","88.1788","","-0.11%"
"11/15/2023","89.4455","90.5000","91.5538","88.1902","","-1.19%"
"11/14/2023","90.5205","91.7600","92.0768","90.0423","","-1.51%"
"11/13/2023","91.9105","92.3675","92.6108","91.2568","","-0.39%"
"11/10/2023","92.2705","92.0775","92.5358","91.3843","","0.65%"
"11/09/2023","91.6705","91.9100","92.6853","91.4298","","-0.19%"
"11/08/2023","91.8455","92.2100","92.7303","91.3523","","-0.27%"
"11/07/2023","92.0955","92.8425","93.2605","91.3313","","-0.59%"
"11/06/2023","92.6455","92.1950","92.9992","91.7518","","-0.22%"
"11/03/2023","92.8455","93.0075","94.0832","91.8383","","-0.46%"
"11/02/2023","93.2705","92.7525","94.1408","91.9450","","0.73%"
"11/01/2023","92.5955","93.3250","93.8715","91.8783","","-1.07%"
"10/31/2023","93.5955","93.0900","93.9923","91.4523","","1.13%"
"10/30/2023","92.5455","93.8500","94.4315","92.3828","","-1.75%"
"10/27/2023","94.1955","93.8550","95.7748","91.6375","","0.59%"
"10/26/2023","93.6455","93.1725","94.4303","92.6838","","-0.37%"
"10/25/2023","93.9955","93.3565","94.2228","92.5087","","0.56%"
"10/24/2023","93.4705","94.2300","94.7738","92.3715","","-1.08%"
"10/23/2023","94.4955","95.3375","96.1037","93.5725","","-1.00%"
"10/20/2023","95.4455","96.1850","97.2990","95.0225","","-0.75%"
"10/19/2023","96.1700","97.4250","98.4965","95.8350","","-1.97%"
"10/18/2023","98.1055","97.5150","98.3903","96.3930","","0.09%"
"10/17/2023","98.0205","97.3875","98.1973","96.8675","","0.62%"
"10/16/2023","97.4205","97.6450","98.1978","96.6975","","-0.28%"
"10/13/2023","97.6955","97.3150","98.3288","95.9688","","-0.03%"
"10/12/2023","97.7205","99.0050","99.8800","95.3413","","-1.79%"
"10/11/2023","99.5000","100.3950","101.0938","97.7500","","-0.79%"
"10/10/2023","100.2955","99.2500","101.2978","97.8553","","1.82%"
"10/09/2023","98.5000","100.2925","103.4800","98.0963","","-2.47%"
"10/06/2023","100.9955","100.3050","103.0928","97.3553","","1.89%"
"10/05/2023","99.1250","99.6000","100.7478","98.3850","","0.33%"
"10/04/2023","98.8000","101.0000","101.1728","98.1825","","-0.30%"
"10/03/2023","99.1000","99.9900","100.7353","97.7075","","1.33%"
"10/02/2023","97.8000","96.6850","100.0977","96.5900","","0.82%"
"09/29/2023","97.0000","96.5604","98.5050","95.3200","","0.78%"
"09/28/2023","96.2455","96.7250","97.8978","95.5638","","0.18%"
"09/27/2023","96.0750","95.2000","97.7852","94.2813","","-0.54%"
"09/26/2023","96.5955","94.9150","98.3477","94.8400","","1.78%"
"09/25/2023","94.9050","96.4400","97.0138","94.8375","","-0.41%"
"09/22/2023","95.3000","96.0725","96.9667","94.9563","","1.17%"
"09/21/2023","94.2000","96.0900","97.2478","94.4050","","-1.90%"
"09/20/2023","96.0205","96.5100","97.6248","95.2475","","1.07%"
"09/19/2023","95.0000","94.9300","98.3603","94.7569","","-0.99%"
"09/18/2023","95.9455","95.8100","98.3108","94.8400","","0.15%"
"09/15/2023","95.8000","96.2500","97.8508","94.8063","","0.58%"
"09/14/2023","95.2500","96.2325","97.3262","94.8419","","-0.98%"
"09/13/2023","96.1955","94.8700","98.3873","92.6925","","0.21%"
"09/12/2023","95.9955","94.0400","97.4978","92.2600","","2.07%"
"09/11/2023","94.0500","97.3950","97.8853","94.6100","","-2.79%"
"09/08/2023","96.7500","98.1100","99.0600","96.7050","","-0.77%"
"09/07/2023","97.5000","97.8000","99.1228","96.3760","","0.10%"
"09/06/2023","97.4000","96.7700","98.9978","96.7150","","0.48%"
"09/05/2023","96.9350","96.2500","98.5478","95.7513","","0.07%"
"09/04/2023","96.8705","96.4625","97.5728","95.4888","","0.49%"
"09/01/2023","96.4005","96.0725","97.1969","94.8188","","1.61%"
"08/31/2023","94.8750","96.3000","97.2833","94.6523","","-1.32%"
"08/30/2023","96.1455","95.3790","97.6173","95.0023","","0.76%"
"08/29/2023","95.4205","95.3250","97.4133","92.4638","","0.98%"
"08/28/2023","94.4955","95.5000","96.4065","93.7523","","-0.53%"
"08/25/2023","94.9955","94.7550","97.4183","93.3237","","1.60%"
